Company,Ticker,CIK,Fiscal_Year,Accounts_Payable,Accounts_Receivable,Acquisitions,Basic_EPS,CF_Net_Income,Capital_Expenditures,Cash_Flow_from_Financing_Activities,Cash_Flow_from_Investing_Activities,Cash_Flow_from_Operating_Activities,Cash_and_Cash_Equivalents,Common_Stock_and_APIC,Cost_of_Revenue,Debt_Issuance,Debt_Repayment,Depreciation_and_Amortization,Diluted_EPS,Dividends_Paid,Effect_of_Exchange_Rate,Ending_Cash,General_and_Administrative,Goodwill,Gross_Profit,Income_Before_Taxes,Income_Tax_Expense,Intangible_Assets_Net,Interest_Expense,Interest_Income,Inventory,Long_Term_Debt,Net_Change_in_Cash,Net_Income,Operating_Expenses,Operating_Income,Other_Current_Assets,Other_Current_Liabilities,Other_Income_Expense,Other_Noncurrent_Assets,Other_Noncurrent_Liabilities,Proceeds_from_Investments,Property_Plant_and_Equipment_Net,Purchases_of_Investments,Research_and_Development,Retained_Earnings,Revenue,Sales_and_Marketing,Share_Repurchases,Short_Term_Debt,Short_Term_Investments,Stock_Based_Compensation,Stock_Issuance,Total_Assets,Total_Current_Assets,Total_Current_Liabilities,Total_Liabilities,Total_Liabilities_and_Equity,Total_Stockholders_Equity,Weighted_Average_Shares_Basic,Weighted_Average_Shares_Diluted
AMD,AMD,0000002488,2021,1321000000.0,2706000000.0,,2.61,3162000000.0,301000000.0,1895000000.0,686000000.0,3521000000.0,2535000000.0,12000000.0,8505000000.0,,0.0,,2.57,,,2535000000.0,,289000000.0,7929000000.0,3675000000.0,513000000.0,0.0,34000000.0,,1955000000.0,1000000.0,940000000.0,3162000000.0,,3648000000.0,,98000000.0,55000000.0,1478000000.0,321000000.0,,702000000.0,,2845000000.0,-1451000000.0,16434000000.0,578000000.0,1762000000.0,312000000.0,1073000000.0,379000000.0,,12419000000.0,8583000000.0,4240000000.0,,12419000000.0,7497000000.0,1213000000.0,1229000000.0
AMD,AMD,0000002488,2022,2493000000.0,4126000000.0,,0.85,1320000000.0,450000000.0,-3264000000.0,1999000000.0,3565000000.0,4835000000.0,16000000.0,12998000000.0,,312000000.0,,0.84,,,4835000000.0,,24177000000.0,10603000000.0,1198000000.0,-122000000.0,24118000000.0,88000000.0,,3771000000.0,2467000000.0,2300000000.0,1320000000.0,,1264000000.0,,336000000.0,8000000.0,2152000000.0,1664000000.0,,1513000000.0,,5005000000.0,-131000000.0,23601000000.0,683000000.0,3702000000.0,0.0,1020000000.0,1081000000.0,,67580000000.0,15019000000.0,6369000000.0,,67580000000.0,54750000000.0,1561000000.0,1571000000.0
AMD,AMD,0000002488,2023,2055000000.0,4323000000.0,,0.53,854000000.0,546000000.0,-1146000000.0,-1423000000.0,1667000000.0,3933000000.0,17000000.0,12220000000.0,,0.0,,0.53,,,3933000000.0,,24262000000.0,10460000000.0,508000000.0,-346000000.0,21363000000.0,106000000.0,,4351000000.0,1717000000.0,-902000000.0,854000000.0,10059000000.0,401000000.0,1259000000.0,438000000.0,197000000.0,2805000000.0,1850000000.0,,1589000000.0,,5872000000.0,723000000.0,22680000000.0,695000000.0,985000000.0,751000000.0,1840000000.0,1384000000.0,,67885000000.0,16768000000.0,6689000000.0,,67885000000.0,55892000000.0,1614000000.0,1625000000.0
AMD,AMD,0000002488,2024,2466000000.0,6192000000.0,,1.01,1641000000.0,636000000.0,-2062000000.0,-1101000000.0,3041000000.0,3787000000.0,17000000.0,13060000000.0,,750000000.0,,1.0,,,3811000000.0,,24839000000.0,12725000000.0,2022000000.0,381000000.0,18930000000.0,92000000.0,,5734000000.0,1721000000.0,-122000000.0,1641000000.0,10825000000.0,1900000000.0,1250000000.0,555000000.0,181000000.0,3918000000.0,1816000000.0,,1802000000.0,,6456000000.0,2364000000.0,25785000000.0,1200000000.0,862000000.0,0.0,1345000000.0,1407000000.0,,69226000000.0,19049000000.0,7281000000.0,,69226000000.0,57568000000.0,1620000000.0,1637000000.0
AMD,AMD,0000002488,2025,2929000000.0,6315000000.0,,2.67,4335000000.0,974000000.0,-431000000.0,-5533000000.0,7709000000.0,5539000000.0,17000000.0,17487000000.0,,950000000.0,,2.65,,,5556000000.0,,25126000000.0,17152000000.0,4166000000.0,-103000000.0,16705000000.0,131000000.0,,7920000000.0,2348000000.0,1745000000.0,4335000000.0,13458000000.0,3694000000.0,,402000000.0,577000000.0,5452000000.0,1186000000.0,,2312000000.0,,8091000000.0,6699000000.0,34639000000.0,2400000000.0,1316000000.0,874000000.0,5013000000.0,1638000000.0,,76926000000.0,26947000000.0,9455000000.0,,76926000000.0,62999000000.0,1624000000.0,1636000000.0
Adobe,ADBE,0000796343,2021,312000000.0,1878000000.0,2682000000.0,10.1,4822000000.0,348000000.0,-4301000000.0,-3537000000.0,7230000000.0,3844000000.0,8428000000.0,1865000000.0,0.0,0.0,788000000.0,10.02,,-26000000.0,3844000000.0,1085000000.0,12668000000.0,13920000000.0,5705000000.0,883000000.0,1820000000.0,113000000.0,17000000.0,,4123000000.0,-634000000.0,4822000000.0,8118000000.0,5802000000.0,,,-97000000.0,883000000.0,257000000.0,,1673000000.0,,,23905000000.0,15785000000.0,4321000000.0,3950000000.0,0.0,1954000000.0,1069000000.0,,27241000000.0,8669000000.0,6932000000.0,12444000000.0,27241000000.0,14797000000.0,477300000.0,481000000.0
Adobe,ADBE,0000796343,2022,379000000.0,2065000000.0,126000000.0,10.13,4756000000.0,442000000.0,-6825000000.0,-570000000.0,7838000000.0,4236000000.0,9868000000.0,2165000000.0,0.0,0.0,856000000.0,10.1,,-51000000.0,4236000000.0,1219000000.0,12787000000.0,15441000000.0,6008000000.0,1252000000.0,1449000000.0,112000000.0,61000000.0,,3629000000.0,392000000.0,4756000000.0,9343000000.0,6098000000.0,,,-90000000.0,841000000.0,293000000.0,,1908000000.0,,,28319000000.0,17606000000.0,4968000000.0,6550000000.0,500000000.0,1860000000.0,1440000000.0,,27165000000.0,8996000000.0,8128000000.0,13114000000.0,27165000000.0,14051000000.0,469500000.0,470900000.0
Adobe,ADBE,0000796343,2023,314000000.0,2224000000.0,0.0,11.87,5428000000.0,360000000.0,-5182000000.0,776000000.0,7302000000.0,7141000000.0,11586000000.0,2354000000.0,0.0,500000000.0,872000000.0,11.82,,9000000.0,7141000000.0,1413000000.0,12805000000.0,17055000000.0,6799000000.0,1371000000.0,1088000000.0,113000000.0,269000000.0,,3634000000.0,2905000000.0,5428000000.0,10405000000.0,6650000000.0,,,246000000.0,1223000000.0,376000000.0,,2030000000.0,,,33346000000.0,19409000000.0,5351000000.0,4400000000.0,0.0,701000000.0,1718000000.0,,29779000000.0,11084000000.0,8251000000.0,13261000000.0,29779000000.0,16518000000.0,457100000.0,459100000.0
Adobe,ADBE,0000796343,2024,361000000.0,2072000000.0,0.0,12.43,5560000000.0,183000000.0,-7724000000.0,149000000.0,8056000000.0,7613000000.0,13419000000.0,2358000000.0,1997000000.0,0.0,857000000.0,12.36,,-9000000.0,7613000000.0,1529000000.0,12788000000.0,19147000000.0,6931000000.0,1371000000.0,782000000.0,169000000.0,341000000.0,,4129000000.0,472000000.0,5560000000.0,12406000000.0,6741000000.0,,,311000000.0,1554000000.0,446000000.0,,1936000000.0,,,38470000000.0,21505000000.0,5764000000.0,9500000000.0,1499000000.0,273000000.0,1833000000.0,,30230000000.0,11232000000.0,10521000000.0,16125000000.0,30230000000.0,14105000000.0,447100000.0,449700000.0
Adobe,ADBE,0000796343,2025,417000000.0,2344000000.0,17000000.0,16.73,7130000000.0,179000000.0,-11060000000.0,-1187000000.0,10031000000.0,5431000000.0,15361000000.0,2551000000.0,1997000000.0,1500000000.0,818000000.0,16.7,,34000000.0,5431000000.0,1573000000.0,12857000000.0,21218000000.0,8734000000.0,1604000000.0,495000000.0,263000000.0,264000000.0,,6210000000.0,-2182000000.0,7130000000.0,12512000000.0,8706000000.0,,,248000000.0,1610000000.0,508000000.0,,1873000000.0,,,45354000000.0,23769000000.0,6488000000.0,11281000000.0,0.0,1164000000.0,1942000000.0,,29496000000.0,10163000000.0,10200000000.0,17873000000.0,29496000000.0,11623000000.0,426200000.0,427000000.0
